"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSDARG00000042245",214.544009781308,1.40324138371171,0.183881875983174,7.63121094022397,2.32558792214868e-14,3.41861424555855e-12,"myl13","393488"
"ENSDARG00000020574",220.922180790884,1.13306743037896,0.163438455484702,6.93268562174474,4.12925186639305e-12,3.79375015224862e-10,"atp2a1","260440"
"ENSDARG00000099197",496.847816863175,1.02158330571826,0.121364353107904,8.41749063507944,3.84634014283786e-17,9.42353334995276e-15,"actc1b","58114"
"ENSDARG00000104682",221.761484901681,1.01404680731578,0.158915862366326,6.38102950968009,1.75901404480119e-10,1.23130983136084e-08,"tpm2","415209"
"ENSDARG00000099959",80.1605351583595,1.01051919618439,0.241101687270728,4.19125725590503,2.77412890585802e-05,0.000634290998878435,"smyhc1","321552"
"ENSDARG00000088330",712.247290557203,1.00873693338337,0.0977768109615452,10.3167297385072,5.92054541316169e-25,2.17580043933692e-22,"hbae1.2","572729"
"ENSDARG00000014196",114.486883724091,1.0062747977785,0.217593620818432,4.6245601961749,3.75394057622647e-06,0.000114964430146936,"myl1","336165"
"ENSDARG00000090352",95.6996186356518,-1.02612551563938,0.243985252780523,-4.20568663042284,2.60290689061427e-05,0.000617140827290804,"LOC101883708","101883708"
"ENSDARG00000013598",143.879811138183,-1.07685388436324,0.231619069014455,-4.64924537062202,3.33151690217332e-06,0.000104198507365847,"tnfb","554167"
"ENSDARG00000033285",121.461455084319,-1.08410219692357,0.215160694948287,-5.03856987998729,4.69023177997266e-07,1.81437913593679e-05,"gsto2","492500"
"ENSDARG00000077726",119.958755344432,-1.08853413686774,0.233401000348063,-4.66379379370458,3.10432457815673e-06,9.92034158671825e-05,"nocta","572044"
"ENSDARG00000089667",90.146592254988,-1.10581407580107,0.244148503844053,-4.52926828708888,5.91883044845278e-06,0.000161123717763437,"si:zfos-2330d3.3","100007474"
"ENSDARG00000007693",112.060679798472,-1.13147050514406,0.223328299650649,-5.06640003489936,4.05409493502189e-07,1.61068096067086e-05,"nfkbiab","323099"
"ENSDARG00000109648",273.678107017029,-1.19282056074087,0.154565027710562,-7.71727329531844,1.18844650698329e-14,1.94112929473937e-12,NA,NA
"ENSDARG00000053836",124.376344534488,-1.2253086112091,0.216524616431679,-5.65898063417525,1.5227473509359e-08,7.4614620195859e-07,"si:ch211-284o19.8","100007937"
"ENSDARG00000009978",123.706683877291,-1.26634729706865,0.240156517825056,-5.27300823869842,1.34205536270172e-07,5.80241583285745e-06,"icn","336655"
"ENSDARG00000036832",135.111898045382,-1.37368098355733,0.210923254073195,-6.51270524719212,7.38092574241173e-11,5.71050570597118e-09,"cyt1l","792062"
"ENSDARG00000058557",88.1400719160891,-1.39465763587174,0.283114340191972,-4.92612855613763,8.38748257533937e-07,2.93561890136878e-05,"il11b","108180095"
"ENSDARG00000092947",169.828935452334,-1.41071111921339,0.188409291409163,-7.48748168767215,7.02076561364938e-14,8.60043787672049e-12,"cyt1","30327"
"ENSDARG00000026726",158.071935768586,-1.42322022209833,0.203924459833602,-6.9791540615562,2.96962693131789e-12,3.11810827788379e-10,"anxa1a","334724"
"ENSDARG00000017624",1178.34990930599,-1.63843517165288,0.0885779376351601,-18.4971022739473,2.17877689236184e-76,3.20280203177191e-73,"krt4","794486"
"ENSDARG00000098602",216.049527653644,-1.98958460351179,0.181233937153858,-10.9779914002681,4.87645737683345e-28,2.38946411464839e-25,NA,NA
